Everything has changed.	semuanya telah berubah
And it will cost money.	dan itu akan membutuhkan uang
That's mostly true.	itu sebagian besar benar
Some time ago.	beberapa waktu lalu
Both have to stop.	keduanya harus berhenti
He knows these people.	dia tahu orangorang ini
But he scared her.	tapi dia membuatnya takut
I know this will work.	saya tahu ini akan berhasil
Everything is bad, bad, bad.	semuanya buruk buruk buruk
Dinner on the road.	makan malam di jalan
Can't see anything.	tidak bisa melihat apaapa
It was better for all of them to see it in him.	lebih baik bagi mereka semua untuk melihatnya dalam dirinya
We need to make this place work.	kita perlu membuat tempat ini bekerja
I think it should be more.	saya pikir itu harus lebih
But they are.	tapi mereka
Every part of them.	setiap bagian dari mereka
I've been in trouble before.	aku sudah dalam masalah sebelumnya
Not at all actually.	tidak sama sekali sebenarnya
They just want you back there.	mereka hanya ingin anda kembali ke sana
I will definitely stay there again.	saya pasti akan tinggal di sana lagi
He thought it was fun.	dia pikir itu menyenangkan
He tried many things.	dia mencoba banyak hal
This is not an easy thing.	ini bukan hal yang mudah
He needed something more.	dia membutuhkan sesuatu yang lebih
You don't feel good.	anda tidak merasa baik
This is a tough and difficult thing.	ini adalah hal yang sulit dan sulit
It seems to have stopped.	tampaknya telah berhenti
He didn't know which.	dia tidak tahu yang mana
But it's not like a person.	tapi itu tidak seperti seseorang
But he's out.	tapi dia telah keluar
Yes, he's still alive now.	ya dia masih hidup sekarang
If something happens, it happens.	jika sesuatu terjadi itu terjadi
Everyone is sick.	semua orang sakit
And that, it seems, is that.	dan itu tampaknya adalah itu
They are all very interesting.	mereka semua sangat menarik
I hope none of us know that.	saya berharap tidak ada dari kita yang tahu itu
It's not working as it should.	ini tidak berjalan seperti yang seharusnya
He did this.	dia melakukan ini
But we don't know.	tapi kita tidak tahu
I'm really bad at that.	aku benarbenar buruk dalam hal itu
I had so much to lose, back then.	aku punya begitu banyak kehilangan saat itu
I just did it without much thought.	saya hanya melakukannya tanpa banyak berpikir
No, they are all bad.	tidak mereka semua buruk
I have to get more.	saya harus mendapatkan lebih banyak
Everything is in front of us.	semuanya ada di depan kita
We're too close for that.	kami terlalu dekat untuk itu
Maybe he only works in the men's section.	mungkin dia hanya bekerja di bagian pria
But next time.	tapi lain kali
But maybe they are not one and the same.	tapi mungkin mereka tidak satu dan sama
We want to be stronger.	kami ingin menjadi lebih kuat
All night.	malam malam semuanya
I just thought it looked amazing.	saya hanya berpikir itu terlihat luar biasa
But nothing, nothing.	tapi tidak ada tidak ada
Now with you it's different.	sekarang dengan anda itu berbeda
And who knows what else.	dan siapa yang tahu apa lagi
You work all day.	anda bekerja sepanjang hari
He doesn't have to do what he does.	dia tidak perlu melakukan apa yang dia lakukan
But nothing worked for me.	tapi tidak ada yang berhasil untuk saya
you just been there.	anda hanya berada di sana
It's always worked for me.	itu selalu berhasil untuk saya
I don't want to live to lose him.	aku tidak ingin hidup kehilangan dia
It can only mean something big.	itu hanya bisa berarti sesuatu yang besar
It makes us feel good.	itu membuat kita merasa baik
That meant he had to get closer.	itu berarti dia harus lebih dekat
We need to do our best.	kita perlu melakukan yang terbaik
He also likes working with people.	dia juga suka bekerja dengan orangorang
He would probably do well.	dia mungkin akan melakukannya dengan baik
At least some things haven't changed.	setidaknya beberapa hal tidak berubah
This is not their way, nor will they go there.	ini bukan jalan mereka mereka juga tidak akan pergi ke sana
This works pretty well.	ini bekerja cukup baik
It's been a pretty bad year.	ini adalah tahun yang cukup buruk
I think that's the first.	saya pikir itu yang pertama
And they do it too hard.	dan mereka melakukannya terlalu keras
No one will tell me anything.	tidak ada yang akan memberi tahu saya apa pun
Everything is completely real.	semuanya benarbenar nyata
I found it all myself.	saya menemukan semuanya sendiri
They have to work with us.	mereka harus bekerja dengan kita
And this too.	dan ini juga
People live here.	orangorang tinggal di sini
But you don't see everything.	tapi anda tidak melihat semuanya
So at least there's something someone else's problem with.	jadi setidaknya ada sesuatu yang menjadi masalah orang lain
I have more.	aku punya lebih
They were just talking to each other.	mereka baru saja berbicara satu sama lain
We will, we must.	kita akan kita harus
He likes those things.	dia menyukai halhal itu
This is right or wrong.	ini benar atau salah
He said that he didn't.	dia mengatakan bahwa dia tidak
They just do it.	mereka hanya melakukannya
But in our way.	tapi dengan cara kita
And now it's gone.	dan sekarang sudah tidak ada
We don't work together.	kami tidak bekerja sama
Just good to know.	hanya baik untuk tahu
Even the dead stood still.	bahkan orang mati tetap berdiri
This, seems to be the right thing to do.	ini tampaknya adalah hal yang tepat untuk dilakukan
Nothing takes easy going back there.	tidak ada yang mengambil mudah kembali ke sana
Things got really bad, then they got better.	halhal menjadi sangat buruk kemudian mereka menjadi lebih baik
He won't, because of you.	dia tidak akan karena anda
The others will never be able to stand.	yang lain tidak akan pernah bisa berdiri
It seems like so much work.	sepertinya begitu banyak pekerjaan
That is one way.	itu adalah salah satu cara
It's almost working correctly.	ini hampir bekerja dengan benar
She was very afraid of this man.	dia sangat takut pada pria ini
We're glad he's dead.	kami senang dia sudah mati
So much for sure.	begitu banyak yang pasti
We always together.	kami selalu bersama
She must.	dia harus
I want them to know who they are.	saya ingin mereka tahu siapa mereka
But seeing it makes me sick.	tapi melihatnya membuatku sakit
It's great to work with different people.	itu bagus untuk bekerja dengan orang yang berbeda
And that never happened.	dan itu tidak pernah terjadi
Even the things we want to do.	bahkan halhal yang ingin kita lakukan
You have no children.	anda tidak memiliki anak
I'm thinking for two now.	aku sedang berpikir untuk dua sekarang
And then stop.	dan kemudian berhenti
Not that anyone would see it.	bukan berarti ada orang yang akan melihatnya
Maybe even make some along the way.	bahkan mungkin membuat beberapa di sepanjang jalan
Until now it was working fine.	sampai sekarang itu bekerja dengan baik
But if you don't.	tetapi jika anda tidak melakukannya
They will be here.	mereka akan berada di sini
I have work to do here.	saya memiliki pekerjaan yang harus dilakukan di sini
Neither will anyone else.	orang lain juga tidak akan pernah
You know him.	anda tahu dia
They are still alive.	mereka masih hidup
Live in that little house.	tinggal di rumah kecil itu
Big things.	halhal besar
I think this is a very pleasant time.	saya pikir ini adalah waktu yang sangat menyenangkan
But that's quite a long time.	tapi itu cukup lama
But some don't.	tapi beberapa tidak
Nothing can happen there.	tidak ada yang bisa terjadi di sana
Everyone looks different.	semua orang terlihat berbeda
More will come .	akan datang lebih banyak lagi
Someone has to do something.	seseorang harus melakukan sesuatu
He tried a few.	dia mencoba beberapa
If you have money, that's great.	jika anda punya uang itu bagus
It went on as it always does.	itu berjalan seperti yang selalu terjadi
That it does not help to help.	bahwa itu tidak membantu untuk membantu
In a way.	dengan cara
But he's still there.	tapi dia masih di sana
A real man woman, he is.	benarbenar pria wanita dia
At least not yet, he couldn't.	setidaknya belum dia tidak bisa
Which one, yes.	yang mana ya
A lot has changed, but not everything.	banyak yang berubah tapi tidak semuanya
He had too much to do.	terlalu banyak yang harus dia lakukan
He must be here.	dia harus berada di sini
Look, we really did.	lihat kami benarbenar melakukannya
So glad we could do this for you!	sangat senang kami bisa melakukan ini untuk anda
But it got me thinking.	tapi itu membuatku berpikir
It happens here every day.	ini terjadi di sini setiap hari
It only happened one day.	itu hanya terjadi satu hari
The same thing happened there.	hal yang sama terjadi di sana
But not enough.	tapi belum cukup
It doesn't get any clearer.	itu tidak menjadi lebih jelas
We will soon have you better.	kami akan segera memiliki anda lebih baik
He never came back.	dia tidak pernah kembali
That said, they should at least try.	yang mengatakan mereka setidaknya harus mencoba
I am all for them.	saya semua untuk mereka
We have to get out.	kami harus keluar
I didn't do too bad.	saya tidak melakukan terlalu buruk
However, that doesn't mean it's so simple and easy.	namun itu tidak berarti begitu sederhana dan mudah
Never had he felt so alive.	belum pernah dia merasa begitu hidup
Maybe you even think you need these things.	mungkin anda bahkan berpikir anda membutuhkan halhal ini
Not so fast, there.	tidak begitu cepat di sana
All wrong.	semua salah
And he tried.	dan dia mencoba
He looked under the bed.	dia melihat ke bawah tempat tidur
I'll be back when you	aku akan kembali ketika kamu
I can see it happening.	saya bisa melihatnya terjadi
I don't want to go back.	saya tidak ingin kembali
We tried there.	kami mencoba ke sana
But there are two problems with it.	tapi ada dua masalah dengan itu
This is very unusual.	ini sangat tidak biasa
Pretty simple job to do.	pekerjaan yang cukup sederhana untuk dilakukan
No one knows how it will work.	tidak ada yang tahu bagaimana itu akan bekerja
It was an amazing night.	itu adalah malam yang luar biasa
It's also easy to do.	ini juga mudah dilakukan
They are people.	mereka adalah orangorang
It looked dead, everyone.	itu tampak mati semuanya
You have died and then come back.	anda telah mati dan kemudian kembali
I need this for work.	saya membutuhkan ini untuk bekerja
And most of them do.	dan sebagian besar dari mereka melakukannya
I saw how that could happen.	saya melihat bagaimana itu bisa terjadi
He was glad not to be one of them.	dia senang tidak menjadi salah satu dari mereka
He was starting to think he knew where he was.	dia mulai berpikir dia tahu di mana dia berada
I did it for myself.	saya melakukannya untuk diri saya sendiri
He just doesn't look good.	dia hanya tidak terlihat baik
Back to your question.	kembali ke pertanyaan anda
Not very interesting actually.	tidak terlalu menarik sebenarnya
you will.	anda akan melakukannya
There, it's better.	di sana itu lebih baik
So they become different.	jadi mereka menjadi berbeda
You can't make me.	anda tidak bisa membuat saya
We'll see what we'll see.	kita akan melihat apa yang akan kita lihat
Not too deep.	tidak terlalu dalam
They're doing.	mereka sedang melakukan
Just look at him, people who have money.	lihat saja dia orangorang yang punya uang
In fact, he was not afraid of anything.	sebenarnya dia tidak takut pada apa pun
He walks at night.	dia berjalan di malam hari
I found them interesting.	saya menemukan mereka menarik
That's something.	itu sesuatu
But it's not by the way.	tapi itu tidak dengan cara
No, this is something much worse.	tidak ini adalah sesuatu yang jauh lebih buruk
There is also another important point here.	ada juga hal lain yang penting di sini
About that old house.	tentang rumah tua itu
