There and then.	teo ary avy eo
He began to think that they could not do wrong.	nanomboka nieritreritra izy fa tsy afaka manao ratsy izy ireo
They had never done that before.	mbola tsy nanao toy izany mihitsy izy ireo taloha
And that’s important.	ary zavadehibe izany
I could have done it now, you know.	afaka nanao izany aho izao fantatrao
That could be a lot.	mety ho maro izany
It was hard for him to think.	sarotra taminy ny nieritreritra
But it is not yet complete.	mbola tsy feno anefa izany
I think that’s a real thing.	heveriko fa tena zavatra izany
And that seems to be the first time.	ary toa ny voalohany izany
When you did.	rehefa nanao izany ianao
It has to be all of them or not.	tsy maintsy ho izy rehetra na tsia
There are pictures.	misy sary
The world was his.	izao tontolo izao no nisy azy
Sure, what it is.	azo antoka inona izany
There was nothing certain about it.	tsy nisy zavatra azo antoka momba izany
I work.	miasa aho
These things are very important.	tena zavadehibe ireo zavatra ireo
We needed to make sure someone was free.	nila nahazo antoka izahay fa misy olona afaka
He didn't have one.	tsy nanana na dia iray aza izy
It is much more than that.	mihoatra lavitra noho izany izany
I have a house there.	manana trano aho any
Good to start.	tsara ny manomboka
It’s not hard to find them but everywhere.	tsy sarotra ny nahita azy ireo fa teny rehetra teny
Otherwise, there is no real problem with the facts.	raha tsy izany dia tsy misy olana marina momba ny zavamisy
They are here.	eto izy ireo
It’s not about everything, but it’s definitely about him.	tsy momba ny zavadrehetra fa azo antoka fa momba azy
And it seems to have stopped for now.	ary toa nijanona izany aminizao fotoana izao
It was good, and it was really fun.	tsara izany ary tena nahafinaritra
There is no evil, there is no evil.	tsy misy ratsy tsy misy ratsy
You seem to be able to do anything.	toa afaka manao na inona na inona ianao
It has already begun.	efa nanomboka izany
This is where many of us are.	eto no misy antsika maro be
He still had no idea.	mbola tsy nanana hevitra izy
It all came to fruition.	tonga tanteraka izany rehetra izany
He was lost.	very izy
Mine is bigger.	ny ahy dia lehibe kokoa
Now, and don’t.	ankehitriny ary aza manao
It will be much harder than that.	ho sarotra lavitra noho izany
But not his.	fa tsy ny azy
I think they are both.	heveriko fa izy roa
On another day.	aminny andro hafa
It seems wrong to me.	toa diso amiko
Because it went wrong.	satria nandeha ratsy
There were a lot of them.	be dia be teo izy ireo
And he said to another.	dia hoy izy taminny iray hafa
They are all very good.	tena tsara daholo izy ireo
But this time is different.	hafa anefa ity fotoana ity
It won’t matter.	tsy ho zavadehibe izany
If it is not done now, it will be done.	raha tsy tanteraka izao dia ho tanteraka izany
This is life, a time like this.	izany no fiainana fotoana toy izao
And that’s right, they are.	ary marina izany izy ireo
This is not easy to do.	tsy mora ny manao izany
He is coming.	ho avy izy
They are found in other foods as well.	izy ireo dia hita ao aminny sakafo hafa koa
This is good money.	izao no vola tsara
Everything seems different.	toa hafa ny zavadrehetra
He himself saw everything.	izy mihitsy no nahita ny zavadrehetra
I hope we can do it again once.	manantena aho fa afaka manao izany indray isika indray mandeha
But that will not be enough.	tsy ho ampy anefa izany
Maybe we are.	angamba isika
But they had me.	saingy nanana ahy izy ireo
It is real.	tena izy io
But make no mistake.	aza diso anefa
That’s the last thing.	izany no zavatra farany
I think he told me that.	heveriko fa izy no nilaza izany tamiko
You can do this many ways.	afaka manao izany fomba maro ianao
The process is simple.	tsotra ny dingana
Then the man left.	dia lasa ilay lehilahy
Maybe you just need time and space for a specific reason.	angamba mila fotoana sy toerana fotsiny ianao noho ny antony manokana
He was happier.	faly kokoa izy
The land was beautiful.	nahafinaritra be ny tany
It’s so beautiful inside.	tena tsara tarehy anatiny izany
And not at all.	ary tsy izany mihitsy
You really exist.	tena misy ianao
We have no information about these things.	tsy manana vaovao momba ireo zavatra ireo izahay
When it comes to that.	raha tonga aminizany
Good money if you can.	vola tsara raha azonao atao
I'll see it.	ho hitako izany
Same person as before.	olona mitovy aminny teo aloha ihany
It’s like it’s just a matter of time.	toy ny hoe resaka fotoana fotsiny
But that is not the case.	tsy izany anefa no zavamisy
But we had no idea.	tsy nanana hevitra anefa izahay
We need more of that.	mila bebe kokoa aminizany isika
Of course, this is not possible.	mazava ho azy fa tsy azo atao izany
He is not here.	tsy eto izy
Maybe they are all dead.	angamba efa maty daholo izy ireo
Just because they could have, at all times, and didn’t.	satria fotsiny izy ireo dia afaka nanana aminny fotoana rehetra ary tsy nanao
He doesn't look at me.	tsy mijery ahy izy
Not only that.	tsy hoe fotsiny
I should deserve it.	tokony mendrika izany aho
He didn't look too much.	tsy dia nijery loatra izy
Maybe, something else.	angamba zavatra hafa
However, you have no choice.	na izany aza tsy manana safidy ianao
He is not all bad.	tsy ratsy daholo izy
But that’s a problem.	saingy olana izany
It’s instantaneous.	eo no ho eo izany
I have never seen one that way.	mbola tsy nahita na iray aza taminizany fomba izany aho
We are the first.	isika no voalohany
The car was fun.	nahafinaritra ilay fiara
We didn’t stop there.	tsy nijanona teo izahay
The food, in fact, is very good.	ny sakafo raha ny marina dia tena tsara
They were looking at things.	nijery zavatra izy ireo
And not only that.	ary tsy izay ihany
It’s really easy when you get it.	tena mora izany rehefa azonao
They came.	tonga izy ireo
They did not have much housing.	tsy dia nanana trano izy ireo
But life is good.	fa tsara ny fiainana
You have to find a new place.	tsy maintsy mahita toerana vaovao
Anyway, they said, we had two on one.	na izany na tsy izany hoy izy ireo dia nanana roa taminny iray izahay
And so, we thought we couldn’t do it.	ary noho izany nieritreritra izahay fa tsy afaka manao izany izahay
I've never been like that before.	mbola tsy toy izany mihitsy aho
No one saw it.	tsy nisy nahita izany
Now, the closer you are.	ankehitriny ny akaiky anao
Because you can’t do it alone.	satria tsy afaka manao izany irery
It’s always far away.	lavitra foana izany
They are the problem.	izy ireo no olana
But look at us.	fa jereo izahay
He will be very happy.	ho faly tokoa izy
I would be lost without him.	very aho raha tsy nisy azy
I have it.	manana izany aho
There are everywhere.	misy eny rehetra eny
They are close.	akaiky izy ireo
But now he is.	fa izy indray izao no izy
However, there is still a lot of work to be done.	na izany aza mbola betsaka ny asa
I hope not.	manantena aho fa tsy izany
It has never been like this.	tsy mbola nisy toy izao
It was so full.	feno be ilay izy
It's a little early now.	kely ihany aloha izao
Nothing is safer.	tsy misy azo antoka kokoa
And it’s all from you.	ary avy aminao daholo izany
This work was fun.	nahafinaritra ity asa ity
He sees nothing.	tsy mahita na inona na inona izy
The past was meaningless.	tsy nisy dikany ny lasa
There are other reasons.	misy antony hafa
Or to be found.	na ho hita
I love the unusual.	tiako ny tsy mahazatra
And it really did exist.	ary tena nisy tokoa izany
We both have them.	samy manana azy ireo isika
Gone, just like that.	lasa toy izany ihany
You can start now.	afaka manomboka izao ianao
Now he needs to work.	aminizao fotoana izao dia mila miasa izy
But this is wrong for obvious reasons.	tsy mety anefa izany noho ny antony mazava
I just love this game.	tiako fotsiny ity lalao ity
There are still questions, of course.	mbola misy fanontaniana mazava ho azy
But that is not the problem here.	tsy izany anefa no olana eto
Because it’s all important, he said.	satria zavadehibe izany rehetra izany hoy izy
You will lose a lot of things.	ho very zavatra maro ianao
To look at it.	ny mijery azy
That is far from good.	lavitra ny tsara izany
They desperately needed good news, and it was.	tena nila vaovao tsara izy ireo ary izy ilay izy
We have to get the facts right.	tsy maintsy mahazo ny zavamisy marina isika
Things, not much.	zavatra tsy dia betsaka
The first is more difficult.	ny voalohany no sarotra kokoa
It was really hard.	tena mafy ilay izy
The story is not so bad.	tsy tena ratsy ny tantara
As fast as possible.	haingana araka izay azo atao
But it is small.	kely anefa izany
The results are very good.	tena tsara ny vokatra
So, you know they are beautiful homes.	noho izany fantatrao fa trano tsara tarehy izy ireo
They are watching us.	mijery antsika izy ireo
It’s just a dead mistake.	diso maty fotsiny izany
Basically we can see the future.	aminny ankapobeny dia afaka mahita ny ho avy isika
They have traveled a long way.	nandeha lavitra be izy ireo
It has to be good.	tsy maintsy tsara izany
She loved watching him.	tiany ny nijery azy
And we were the only two who did it.	ary izahay roa ihany no nanao izany
People are.	ny olona dia
Of course I didn’t.	mazava ho azy fa tsy nanao izany aho
Either way or whatever.	na izany na izany na izany na izany na
You never saw me.	tsy nahita ahy mihitsy ianao
He looks so crazy.	toa adala be izy
I still have other questions.	mbola manana fanontaniana hafa aho
This is a very difficult world.	tontolo sarotra be ity
I almost love him so much.	saika tiako be izy
It's different than the night before.	hafa noho ny taminny alina teo aloha
We have ours.	manana ny anay izahay
It pays off.	mahazo vokatra izany
Good but not bad.	tsara fa tsy ratsy
It was harder to stay with that.	sarotra kokoa ny nijanona taminizany
You may have your own.	mety manana ny anao manokana ianao
Three types of activity were observed.	karazana hetsika telo no hita
Maybe he needs a little time too.	angamba mila fotoana kely ihany koa izy
What else.	inona indray
The house looks good.	toa tsara ilay trano
If only it could be true in real life.	raha mba ho tanteraka tokoa izany aminny tena fiainana
There were other problems as well.	nisy olana hafa koa
But, of course, that’s not what it is.	saingy mazava ho azy tsy inona izany
But I don’t have three.	fa tsy manana telo
Now for the next thing.	ankehitriny ho anny zavatra manaraka
There are some problems there.	misy olana sasany any
Good, simple, easy to understand.	tsara tsotra mora azo
They come from all over.	avy aminny toerana rehetra izy ireo
You are not wrong.	tsy diso ianao
This may seem very silly at first.	mety ho toa adala be izany aminny voalohany
Then, finally, it stopped.	avy eo farany nijanona
He looked good.	nijery tsara izy
They are happy with nothing.	faly tsy misy na inona na inona izy ireo
They did not go.	tsy nandeha izy ireo
With you on that too.	miaraka aminao aminizany koa
One day, they will come in large numbers.	indray andro any ho tonga maro be izy ireo
And it couldn’t be more accurate here.	ary tsy mety ho marina kokoa izany eto
This is another story.	tantara hafa indray ity
For us it was just beginning.	ho anny antsika dia vao nanomboka
Yes, they will go to a distant land.	eny ho any aminny tany lavitra izy
You now know about me.	fantatrao izao ny momba ahy
The money is not just there.	tsy ao fotsiny ny vola
All good things.	ny zavatra tsara rehetra
I think people can be the same way.	heveriko fa mety ho toy izany koa ny olona
They could not go far.	tsy afaka nandeha lavitra izy ireo
Keep it simple, simple, simple.	ataovy tsotra tsotra tsotra
The best for you and yours.	ny tsara indrindra ho anao sy ny anao
We will be happy to have it.	ho faly izahay manana izany
I had no reason at all.	tsy nanana antony mihitsy aho
He wants everything faster.	tiany haingana kokoa ny zavadrehetra
He did nothing wrong.	tsy nanao zavatra ratsy izy
I didn’t see it right away.	tsy hitako avy hatrany
Works all the time.	miasa aminny fotoana rehetra
And they are not wrong.	ary tsy diso izy ireo
That’s good, you know.	tsara izany fantatrao
I have always said that.	efa nilaza izany foana aho
Then he saw me.	dia nahita ahy izy
Yes, it is important.	eny zavadehibe izany
Apparently so.	toa izany tokoa no izy
You cannot do this work alone.	tsy afaka manao io asa io irery ianao
That seems to be true.	toa marina izany
Do it last.	ataovy farany
Often, there is no time.	matetika tsy misy fotoana
Sometimes a big part.	indraindray ampahany lehibe
And maybe.	ary angamba
We’ve done all this before.	efa nanao izany rehetra izany izahay taloha
It’s like they can go all the way.	toy ny hoe afaka mandeha aminny lalana rehetra izy ireo
